Elemental Formula,Formula Type,Mass,C,H,O,N,P,S,O.C,H.C,N.C,P.C,N.P,Sample A1,Sample A2,Sample A3,Sample B1,Sample B2,Sample B3
C24H47O6N11,CHON,585.3710633,24,47,6,11,0,0,0.25,1.96,0.46,0.00,0.00,2863120.337,2644557.137,4938007.378,3127383.203,3039698.37,4266450.84
C41H73O7P,CHOP,708.5094,41,73,7,0,1,0,0.17,1.78,0.00,0.02,0.00,4095502.974,388464.5231,5270798.147,7855567.413,11885102.28,8397450.397
C36H67O10N15P2S,CHONPS,903.5072433,36,67,10,15,2,1,0.28,1.86,0.42,0.06,7.50,1702901.763,424652.5869,2190026.083,625754.287,1024768.276,224483.8746
C19H24O6N4S,CHONS,436.1416533,19,24,6,4,0,1,0.32,1.26,0.21,0.00,0.00,2874462.988,2478754.574,193814.7568,865173.9577,348373.6241,657501.6897
C30H60O2,CHO,452.4593,30,60,2,0,0,0,0.07,2.00,0.00,0.00,0.00,1408194.81,3715246.049,1755640.114,1352569.951,2865690.89,
C40H69O10N9,CHON,835.5167233,40,69,10,9,0,0,0.25,1.73,0.23,0.00,0.00,1093032.738,253899.6775,580457.5251,1374741.739,2377003.867,3670.767564
C12H24O4N6S2,CHONS,380.1300533,12,24,4,6,0,2,0.33,2.00,0.50,0.00,0.00,350792.7812,118834.5896,43256.68918,306801.3136,408607.4081,154633.3731
C20H28O5N8,CHON,460.2182533,20,28,5,8,0,0,0.25,1.40,0.40,0.00,0.00,1595825.155,1324363.292,1494250.64,4967506.766,3961771.698,1486983.406
C13H21O10N4P,CHONP,394.1335933,13,21,10,4,1,0,0.77,1.62,0.31,0.08,4.00,425012.8376,310886.6291,561201.5414,1223369.907,1522054.221,1032305.489
C30H60O,CHO,436.4644,30,60,1,0,0,0,0.03,2.00,0.00,0.00,0.00,220480.9608,533163.8354,38273.84585,934800.7966,957647.9706,175657.0929
C24H39O7N7,CHON,537.2910833,24,39,7,7,0,0,0.29,1.63,0.29,0.00,0.00,2106985.555,2400063.631,2749874.641,3416403.27,2721757.499,1182761.636
C13H22O,CHO,194.1671,13,22,1,0,0,0,0.08,1.69,0.00,0.00,0.00,807291.2248,841507.725,959781.0506,1777959.962,591522.0696,273.1560454
C21H24O4,CHO,340.1675,21,24,4,0,0,0,0.19,1.14,0.00,0.00,0.00,7681384.289,10209968.46,16153591.8,8294937.053,5913083.605,198924.0767
C34H61O15N13S,CHONS,923.4130833,34,61,15,13,0,1,0.44,1.79,0.38,0.00,0.00,2619962.057,2300626.148,1372472.213,3365634.012,568956.2875,1991728.889
C22H35O6N11,CHON,549.2771733,22,35,6,11,0,0,0.27,1.59,0.50,0.00,0.00,478718.2098,251370.6604,269657.2085,286312.0276,264905.3664,52247.92128
C16H26O,CHO,234.1984,16,26,1,0,0,0,0.06,1.63,0.00,0.00,0.00,931446.2717,429707.6105,1109792.314,1623705.054,208049.4171,677578.4152
C20H40O,CHO,296.3079,20,40,1,0,0,0,0.05,2.00,0.00,0.00,0.00,326590.3427,463506.3873,376124.3153,1925764.297,1238764.164,608.4208604
C22H34O11N8,CHON,586.2347033,22,34,11,8,0,0,0.50,1.55,0.36,0.00,0.00,1041531.489,947181.1229,3468665.886,1247288.108,23096471.62,2617158.258
C15H22O8N6,CHON,414.1499033,15,22,8,6,0,0,0.53,1.47,0.40,0.00,0.00,1139201.265,380625.1622,1046543.339,735968.7143,1048599.358,979115.9782
C17H30O,CHO,250.2297,17,30,1,0,0,0,0.06,1.76,0.00,0.00,0.00,2410339.584,5422475.326,5774154.377,4832255.212,5358117.244,80019.6721
C23H40O8N6S,CHONS,560.2628233,23,40,8,6,0,1,0.35,1.74,0.26,0.00,0.00,992292.4459,674440.6624,34238.52633,566769.0734,1330228.993,36689.22198
C10H15O10N5P2,CHONP,427.029421,10,15,10,5,2,0,1.00,1.50,0.50,0.20,2.50,7645268.797,3773685.76,7446174.064,9565812.233,9172180.265,16442927.42
C22H38O9N8S,CHONS,590.2482533,22,38,9,8,0,1,0.41,1.73,0.36,0.00,0.00,1454.24119,345.6288166,746.9294135,4443.212006,3418.649834,6860.371693
C28H55O7N15,CHON,713.4408733,28,55,7,15,0,0,0.25,1.96,0.54,0.00,0.00,269933.8617,335467.2195,151493.1993,351291.2734,296950.6419,50383.30996
C19H18O7,CHO,358.1053,19,18,7,0,0,0,0.37,0.95,0.00,0.00,0.00,237153.9289,339065.0445,457036.765,893567.3841,466446.9496,593135.1179
C22H28O6N11P,CHONP,543.2302233,22,28,6,11,1,0,0.27,1.27,0.50,0.05,11.00,503678.841,138504.9033,274066.1604,62245.45865,414706.144,377522.231
C22H20O7,CHO,396.1209,22,20,7,0,0,0,0.32,0.91,0.00,0.00,0.00,3048766.045,5960939.147,7294019.653,4576117.866,5248892.847,500861.2721
C22H22O7,CHO,398.1366,22,22,7,0,0,0,0.32,1.00,0.00,0.00,0.00,346892.809,496796.3552,109706.0082,660041.3024,813045.0281,1923161.998
C20H32O11N4,CHON,504.2067433,20,32,11,4,0,0,0.55,1.60,0.20,0.00,0.00,388755.747,256075.0785,237685.1806,741497.4257,1095041.569,132880.3285
C28H30O11,CHO,542.1788,28,30,11,0,0,0,0.39,1.07,0.00,0.00,0.00,175448.121,1897710.072,431064.0066,521707.558,597746.2929,469562.1023
C22H28O8N6S,CHONS,536.1689233,22,28,8,6,0,1,0.36,1.27,0.27,0.00,0.00,49912.13283,77078.51171,323812.3483,1050067.907,157475.5076,978220.9896
C27H36O9N6,CHON,588.2543633,27,36,9,6,0,0,0.33,1.33,0.22,0.00,0.00,3622311.129,1868502.739,2560260.202,1359644.157,3078631.558,15802.84415
C36H73O3N,CHON,567.559,36,73,3,1,0,0,0.08,2.03,0.03,0.00,0.00,244780.8448,385672.9164,92665.52091,712175.8776,319467.0256,577780.9443
C46H65O12N13,CHON,991.4875433,46,65,12,13,0,0,0.26,1.41,0.28,0.00,0.00,847451.1406,270100.1578,692488.5458,995893.3352,1174075.834,
C21H20O5,CHO,352.1311,21,20,5,0,0,0,0.24,0.95,0.00,0.00,0.00,761129.065,5836716.13,5871876.391,3338298.336,5461340.269,2808442.24
C20H20O8,CHO,388.1158,20,20,8,0,0,0,0.40,1.00,0.00,0.00,0.00,2133824.34,1220965.086,1602843.192,1167014.572,505885.7162,2540050.603
C19H29O10N5,CHON,487.1914333,19,29,10,5,0,0,0.53,1.53,0.26,0.00,0.00,177039.1634,677052.0596,527130.216,841957.3338,889057.4441,432.7399988
C26H46O6N6,CHON,538.3478633,26,46,6,6,0,0,0.23,1.77,0.23,0.00,0.00,1392899.622,428214.3676,1248712.658,1086756.617,1223817.439,1591922.397
C23H35O6N5S,CHONS,509.2307933,23,35,6,5,0,1,0.26,1.52,0.22,0.00,0.00,4270.661031,11123.80246,11516.32878,77782.79039,103449.5507,1814.365471
C28H24O12,CHO,552.1268,28,24,12,0,0,0,0.43,0.86,0.00,0.00,0.00,894.2736042,946.9025951,1174.286886,22224.45023,1837.479064,
C16H16O5,CHO,288.099775,16,16,5,0,0,0,0.31,1.00,0.00,0.00,0.00,140292.4598,164230.8005,119777.2887,1204195.523,224561.4452,619024.0312
C34H69O4N,CHON,555.5227,34,69,4,1,0,0,0.12,2.03,0.03,0.00,0.00,10439434.14,8897577.07,2992074.086,1656285.817,9452891.839,5432923.476
C12H25O3N3,CHON,259.1895833,12,25,3,3,0,0,0.25,2.08,0.25,0.00,0.00,1471845.513,1063047.489,515078.7269,492092.4239,1345915.175,2447618.53
C33H56O11N14,CHON,824.4252833,33,56,11,14,0,0,0.33,1.70,0.42,0.00,0.00,100047.184,67214.04247,16383.9145,147910.3322,321203.3406,1503.66788
C30H46O,CHO,422.3549,30,46,1,0,0,0,0.03,1.53,0.00,0.00,0.00,151446.44,571975.7763,372272.4818,525920.3098,1557700.328,916480.0004
C20H38O7N10S,CHONS,562.2645633,20,38,7,10,0,1,0.35,1.90,0.50,0.00,0.00,332029.7593,203708.0754,655730.9073,1514973.949,991007.1044,1639727.568
C27H46O7N8,CHON,594.3489333,27,46,7,8,0,0,0.26,1.70,0.30,0.00,0.00,44767.94781,220464.3202,119452.3714,156246.656,119901.2588,61536.53481
C26H36O7N8,CHON,572.2706833,26,36,7,8,0,0,0.27,1.38,0.31,0.00,0.00,12246524.32,14982023.48,1902001.579,11338409.58,11965968.68,6771086.837
C28H44O8N2S,CHONS,568.2818,28,44,8,2,0,1,0.29,1.57,0.07,0.00,0.00,965969.3609,1182932.443,2040984.132,4281126.109,4183804.269,982.7219736
C21H22O11,CHO,450.1162,21,22,11,0,0,0,0.52,1.05,0.00,0.00,0.00,1496941.636,2227990.91,3273742.171,2219641.099,2787047.061,6025691.177
C6H4O5,CHO,225.9436,6,4,5,0,0,0,0.83,0.67,0.00,0.00,0.00,,192934.9589,27324.88156,23122.24116,170341.7509,66566.983
C9H17O7N3,CHON,279.1066533,9,17,7,3,0,0,0.78,1.89,0.33,0.00,0.00,6132541.876,274921.472,13008592.13,8160578.175,10424575.56,5175994.343
C19H25O4N3,CHON,359.1844933,19,25,4,3,0,0,0.21,1.32,0.16,0.00,0.00,1633580.359,1680238.097,1697739.673,3552148.808,2020185.457,1840445.107
C24H30O9N7P,CHONP,561.2183233,24,30,9,7,1,0,0.38,1.25,0.29,0.04,7.00,224078.5967,91919.20161,115326.2298,13465.02017,1089.790143,5680.709113
C22H41O5N5S,CHONS,487.2828333,22,41,5,5,0,1,0.23,1.86,0.23,0.00,0.00,2357.800508,,,760673.1391,123035.2834,
C27H26O11,CHO,526.1475,27,26,11,0,0,0,0.41,0.96,0.00,0.00,0.00,13514793.71,16707226.89,12981227.21,24088891.94,16518115.98,16149861.39
C21H31O15N5,CHON,593.1816533,21,31,15,5,0,0,0.71,1.48,0.24,0.00,0.00,389259.1799,286800.174,31156.65818,153251.4895,116243.3702,106459.5363
C19H28O7N6,CHON,452.2019433,19,28,7,6,0,0,0.37,1.47,0.32,0.00,0.00,4111643.754,3420946.266,3034253.269,309897.5736,309897.5736,14720.30026
C24H48O8NP,CHONP,509.3118,24,48,8,1,1,0,0.33,2.00,0.04,0.04,1.00,492073.839,279240.7164,374090.4859,39369.80404,92818.82761,184690.3816
C26H44O6N8P2,CHONP,566.3540133,26,44,6,8,2,0,0.23,1.69,0.31,0.08,4.00,169480.1169,847342.3248,718685.1941,871406.8505,679929.684,736046.3055
C28H38O8N4,CHON,558.2689633,28,38,8,4,0,0,0.29,1.36,0.14,0.00,0.00,593808.8886,159062.8588,523188.972,255661.8263,220141.19,187292.4869
C24H33O6N5S,CHONS,519.2151533,24,33,6,5,0,1,0.25,1.38,0.21,0.00,0.00,1416755.139,3291449.112,9850346.504,13330954.95,9209314.815,4027862.819
C27H31O2,CHO,418.3148,27,31,2,0,0,0,0.07,1.15,0.00,0.00,0.00,676045.9555,1249852.264,1136528.425,1022988.104,1549983.831,216810.7264
C9H19O3N3S,CHONS,249.1147133,9,19,3,3,0,1,0.33,2.11,0.33,0.00,0.00,277433.631,488394.9896,639435.206,1407352.575,1014450.8,1141078.549
C14H12O5,CHO,260.0685,14,12,5,0,0,0,0.36,0.86,0.00,0.00,0.00,1463448.175,981106.9545,222639.2955,19879.65047,,39638.86547
C18H34O,CHO,266.261,18,34,1,0,0,0,0.06,1.89,0.00,0.00,0.00,751222.6943,909910.7088,2131591.2,751954.8303,1051523.772,574320.4927
C7H6O6,CHO,186.0164,7,6,6,0,0,0,0.86,0.86,0.00,0.00,0.00,113265.5527,178652.4071,135791.5307,9223.489655,69464.4116,34712.4419
C30H44O7,CHO,516.3087,30,44,7,0,0,0,0.23,1.47,0.00,0.00,0.00,533738.6892,920310.4635,430042.0535,1826597.301,2904298.181,3821.101962
C26H39O8N5,CHON,549.2798533,26,39,8,5,0,0,0.31,1.50,0.19,0.00,0.00,85760.3193,75090.60416,77124.70805,802146.1257,25245.11316,67954.21948
C22H38O2,CHO,334.2872,22,38,2,0,0,0,0.09,1.73,0.00,0.00,0.00,148165.7544,286161.1948,286194.2305,277979.4304,813995.9,2426.108982
C16H30O6N5P,CHONP,389.2274233,16,30,6,5,1,0,0.38,1.88,0.31,0.06,5.00,199069.4866,550953.6156,2149619.54,404425.9277,144876.7146,404425.9277
C25H38O6N4,CHON,490.2791233,25,38,6,4,0,0,0.24,1.52,0.16,0.00,0.00,326933406.5,1239501277,1549457.474,7079619.189,124029.6564,4048873.756
C21H20O11,CHO,448.1006,21,20,11,0,0,0,0.52,0.95,0.00,0.00,0.00,88607.19806,1013754.501,498985.3072,210507.5895,2533274.6,38690.49773
C11H15O3N4P,CHONP,252.1222333,11,15,3,4,1,0,0.27,1.36,0.36,0.09,4.00,437012.3514,454479.149,594890.6535,744285.0083,711482.3955,449840.1831
C9H10O,CHO,134.073165,9,10,1,0,0,0,0.11,1.11,0.00,0.00,0.00,284916.3901,231325.6016,538239.1614,731681.1753,903997.2255,317806.475
C9H14O3N4,CHON,226.1065833,9,14,3,4,0,0,0.33,1.56,0.44,0.00,0.00,63097.86693,1643950.772,2599262.635,1444261.717,225048.4337,1444261.717
C14H10O4,CHO,242.0579,14,10,4,0,0,0,0.29,0.71,0.00,0.00,0.00,1340086.32,446144.0852,1331037.599,2532972.666,1861044.278,224278.603
C29H55O6N5,CHON,569.4152133,29,55,6,5,0,0,0.21,1.90,0.17,0.00,0.00,33753.58927,58216.06029,3031.740077,172105.7808,106822.1254,
C25H38O8N4S,CHONS,554.2410333,25,38,8,4,0,1,0.32,1.52,0.16,0.00,0.00,3911708.295,8234806.753,9243538.443,4074122.805,2446987.032,3274874.651
C23H22O7,CHO,410.1366,23,22,7,0,0,0,0.30,0.96,0.00,0.00,0.00,4245881.738,8950520.491,10746625.45,9361063.397,11618880.08,787385.9453
C21H35O12N6P,CHONP,564.2391133,21,35,12,6,1,0,0.57,1.67,0.29,0.05,6.00,412377.9485,2050440.059,338581.0515,4651205.98,5092261.353,6671006.927
C20H29O4N5,CHON,403.2219433,20,29,4,5,0,0,0.20,1.45,0.25,0.00,0.00,54481.42827,27703.67699,,10170.00367,4912.872427,13459.26969
C24H36O9N8,CHON,580.2605233,24,36,9,8,0,0,0.38,1.50,0.33,0.00,0.00,175422.0053,169755.4689,169755.4689,81243.23218,57170.95741,6013.988091
C20H36O9N6S,CHONS,536.2264433,20,36,9,6,0,1,0.45,1.80,0.30,0.00,0.00,1236989.291,1631106.477,764194.5674,174448.606,92149.71152,139152.7979
C13H22O2,CHO,210.162,13,22,2,0,0,0,0.15,1.69,0.00,0.00,0.00,3829257.953,3559324.585,2836271.761,4548764.355,4143850.112,3192545.692
C28H34O7N6,CHON,566.2488933,28,34,7,6,0,0,0.25,1.21,0.21,0.00,0.00,173941.0502,278919.3863,234995.1085,3932996.782,6492739.929,214810.9727
C29H48O3,CHO,444.3603,29,48,3,0,0,0,0.10,1.66,0.00,0.00,0.00,874151.4331,548765.5814,1164986.65,1800292.142,1297506.504,41726.76556
C29H44O10N8,CHON,664.3180333,29,44,10,8,0,0,0.34,1.52,0.28,0.00,0.00,3627.99806,320022.519,138377.4702,271079.4782,133723.5414,
C23H37O9N9,CHON,583.2714133,23,37,9,9,0,0,0.39,1.61,0.39,0.00,0.00,310397.4474,411451.0708,323754.6627,436547.3505,319737.7035,911.1271151
C16H25O10N7,CHON,475.1662933,16,25,10,7,0,0,0.63,1.56,0.44,0.00,0.00,33831.15367,412483.6134,27289.58934,1231424.406,738118.28,297488.1931
C21H25O4N3S,CHONS,415.1565733,21,25,4,3,0,1,0.19,1.19,0.14,0.00,0.00,3702290.209,3323339.675,2976585.873,9885297.949,1326310.549,1502197.503
C17H14O5,CHO,298.084125,17,14,5,0,0,0,0.29,0.82,0.00,0.00,0.00,2305115.328,3306465.016,660010.6245,2099150.784,505978.0276,376840.6741
C16H29O8N5S,CHONS,451.1736933,16,29,8,5,0,1,0.50,1.81,0.31,0.00,0.00,1742775.778,429677.3004,801391.6769,284623.2596,412701.4202,151002.9766
C20H39O4N,CHON,357.2879,20,39,4,1,0,0,0.20,1.95,0.05,0.00,0.00,557458.1657,1604059.36,1764623.531,986329.0546,870693.1353,375477.2318
C19H36O5N10,CHON,484.2870033,19,36,5,10,0,0,0.26,1.89,0.53,0.00,0.00,137881.9583,117317.4615,104768.7918,99573.81566,8309.360708,125405.3047
C20H34O9N6S3,CHONS,598.1549533,20,34,9,6,0,3,0.45,1.70,0.30,0.00,0.00,16923.27636,175070.6063,68440.12495,463358.6544,172236.7479,100754.6412
C14H13O8N3,CHON,351.070267,14,13,8,3,0,0,0.57,0.93,0.21,0.00,0.00,551098.4257,484550.6807,197026.9031,289843.0347,244844.8302,12650.19238
C22H22O8,CHO,414.13147,22,22,8,0,0,0,0.36,1.00,0.00,0.00,0.00,234768.3309,1302557.751,1302557.751,132488.2077,120588.4673,35023.54966
C28H39O9N5,CHON,589.2747633,28,39,9,5,0,0,0.32,1.39,0.18,0.00,0.00,121469.8732,1001147.566,829780.0892,398103.3394,66419.86073,457086.3369
C16H23O5N3,CHON,337.1637633,16,23,5,3,0,0,0.31,1.44,0.19,0.00,0.00,181637.4706,282848.3686,334835.1151,655141.2825,1007068.806,2989.240467
C27H42O5,CHO,446.3032,27,42,5,0,0,0,0.19,1.56,0.00,0.00,0.00,1957549.856,2604665.659,2126778.332,6318923.708,3048879.166,2448209.6
C10H14O4N5P,CHONP,269.1123933,10,14,4,5,1,0,0.40,1.40,0.50,0.10,5.00,1294918.707,12967700.23,19727449.96,8491052.035,4166956.566,10448786.39
C20H38O10N6,CHON,522.2649433,20,38,10,6,0,0,0.50,1.90,0.30,0.00,0.00,1491152.342,2515770.687,3135460.468,2728882.279,1246980.246,2352711.333
C27H37O7N7,CHON,571.2754433,27,37,7,7,0,0,0.26,1.37,0.26,0.00,0.00,7892821.598,780859.7218,6104720.739,774535.8567,2892756.646,3001191.511
C23H35O6N5S2,CHONS,541.2028733,23,35,6,5,0,2,0.26,1.52,0.22,0.00,0.00,18749643.87,13598513.33,7306840.995,5139703.886,3507038.114,3553734.069
C9H18O4N5P,CHONP,261.1437033,9,18,4,5,1,0,0.44,2.00,0.56,0.11,5.00,1250236.76,795825.5799,1383192.742,596684.2738,393397.6879,747084.9719
C11H16O5N5P,CHONP,299.1229633,11,16,5,5,1,0,0.45,1.45,0.45,0.09,5.00,5897267.087,5825876.085,4370900.951,1360028.923,6126926.27,4461630.383
C30H39O6N5,CHON,565.2900233,30,39,6,5,0,0,0.20,1.30,0.17,0.00,0.00,218221597.4,491420173.2,407076875.2,568243935.7,542842305,561344490.3
C21H31O5N5,CHON,433.2325133,21,31,5,5,0,0,0.24,1.48,0.24,0.00,0.00,602946.3148,178047.9236,344146.2154,106519.9748,328139.2406,650268.938
C21H21O11,CHO,449.1084,21,21,11,0,0,0,0.52,1.00,0.00,0.00,0.00,28023.12954,88254.17507,99532.0876,2144157.929,4968271.005,90712.10151
C21H35O10N5S,CHONS,549.2104533,21,35,10,5,0,1,0.48,1.67,0.24,0.00,0.00,695662.2019,1222216.647,417407.139,2223045.469,1551331.403,1838170.294
C22H44O5N6S,CHONS,504.3093833,22,44,5,6,0,1,0.23,2.00,0.27,0.00,0.00,178903.5397,86458.99381,135703.7857,406332.3514,905936.3224,112317.7694
C24H46O2,CHO,366.3498,24,46,2,0,0,0,0.08,1.92,0.00,0.00,0.00,466381.9711,791839.1984,129874.595,26762.49999,25793.22906,2443.651372
C18H36O2S,CHOS,316.2436,18,36,2,0,0,1,0.11,2.00,0.00,0.00,0.00,100305.8876,100917.5545,31390.05493,20389.6553,115807.5638,136458.3837
C23H27O6N3,CHON,441.1899733,23,27,6,3,0,0,0.26,1.17,0.13,0.00,0.00,668.1883672,856.5559295,321.404776,2836.705458,5185.401701,72.07592104
C25H41ON,CHON,371.3188,25,41,1,1,0,0,0.04,1.64,0.04,0.00,0.00,8655.921001,76209.0249,63750.37023,146133.0376,11928.06084,159521.7759
C22H39O5N5,CHON,453.2951033,22,39,5,5,0,0,0.23,1.77,0.23,0.00,0.00,596257.9864,317187.5885,544673.4318,297546.8591,800514.7578,81554.87042
C56H108O6,CHO,876.8146,56,108,6,0,0,0,0.11,1.93,0.00,0.00,0.00,1140965.163,2769730.177,162616.6556,7504623.527,3010141.528,3779904.625
C9H14O5N2,CHON,230.0902633,9,14,5,2,0,0,0.56,1.56,0.22,0.00,0.00,200492.2527,454599.8864,241629.7232,1965348.339,7437299.683,6182206.134
C20H39O7P,CHOP,422.2433,20,39,7,0,1,0,0.35,1.95,0.00,0.05,0.00,1566283.783,1298118.889,1001369.45,856190.3116,650605.7573,625890.4484
C20H30O11N6S,CHONS,562.1693233,20,30,11,6,0,1,0.55,1.50,0.30,0.00,0.00,185693.5697,365883.6314,292266.4269,336469.9168,42902.17006,133316.6331
C20H34O11N6,CHON,534.2285533,20,34,11,6,0,0,0.55,1.70,0.30,0.00,0.00,218996.528,238161.7162,434077.0703,117655.8675,116112.0431,425721.4591
C17H30O5,CHO,314.2093,17,30,5,0,0,0,0.29,1.76,0.00,0.00,0.00,6232686.39,3252683.834,2824227.365,10511604.57,6574770.202,3143528.119
C22H28O10N4,CHON,508.1805333,22,28,10,4,0,0,0.45,1.27,0.18,0.00,0.00,889276.5559,2609628.544,625257.8885,110551.6895,33586.9144,16127.20999
C23H42O,CHO,334.3236,23,42,1,0,0,0,0.04,1.83,0.00,0.00,0.00,70809.65784,85816.26143,115864.2431,63245.11703,133436.376,58808.26936
C20H27O9N5S,CHONS,513.1529433,20,27,9,5,0,1,0.45,1.35,0.25,0.00,0.00,1555049.149,1257840.089,4042260.739,2553683.239,5792913.99,1302974.715
C30H46O8N10,CHON,674.3500033,30,46,8,10,0,0,0.27,1.53,0.33,0.00,0.00,172491.4639,240912.0454,219566.5548,58076.1938,38439.32628,314458.0461
C25H48O8N6S,CHONS,592.3254333,25,48,8,6,0,1,0.32,1.92,0.24,0.00,0.00,4903420.539,1680130.426,1794339.998,4204389.985,2877008.548,1737812.13
C34H53O6N9,CHON,683.4118633,34,53,6,9,0,0,0.18,1.56,0.26,0.00,0.00,,,,,,
C24H44O8N7PS,CHONPS,591.3050333,24,44,8,7,1,1,0.33,1.83,0.29,0.04,7.00,2043510.378,2932931,2150899.838,16327871.05,8983990.379,271652.1687
C32H45O7N7,CHON,639.3380333,32,45,7,7,0,0,0.22,1.41,0.22,0.00,0.00,68491.73294,244925.2516,582946.8698,806308.7747,1089797.52,173212.0349
C23H37O10N9,CHON,599.2663233,23,37,10,9,0,0,0.43,1.61,0.39,0.00,0.00,1314125.47,3032348.657,7665237.473,11043558.52,10840702.66,6556921.871
C29H45O3,CHO,520.2552,29,45,3,0,0,0,0.10,1.55,0.00,0.00,0.00,17727568.67,19578218.11,15486299.39,61047135.36,69034799.34,7320861.982
C19H26O4,CHO,318.1831,19,26,4,0,0,0,0.21,1.37,0.00,0.00,0.00,263705.4558,181534.8675,319682.4401,145284.7155,113508.7144,88267.88146
C37H56O8N8S3,CHONS,836.3383233,37,56,8,8,0,3,0.22,1.51,0.22,0.00,0.00,4509240.953,1913717.189,5769212.87,5884520.938,5049268.635,1122131.086
C24H40O7N6S2,CHONS,588.2399833,24,40,7,6,0,2,0.29,1.67,0.25,0.00,0.00,139891323.7,104241263.6,85310746.09,50505738.23,57312996.53,52630764.92
C18H35O2N,CHON,297.2668,18,35,2,1,0,0,0.11,1.94,0.06,0.00,0.00,3192099.265,596718.7411,2719835.123,1920547.838,837683.5779,837413.0835
C27H33O8N5,CHON,555.2329033,27,33,8,5,0,0,0.30,1.22,0.19,0.00,0.00,569204.3029,668992.5126,917671.5102,240607.2706,65773.26561,221547.212
C31H64,CH,436.5008,31,64,0,0,0,0,0.00,2.06,0.00,0.00,0.00,2992393.129,11967616.59,11514410.71,21561537.27,19441473.59,41553.58566
C25H26O4,CHO,390.1831,25,26,4,0,0,0,0.16,1.04,0.00,0.00,0.00,195534.6904,471829.8309,289243.077,272619.9106,807465.212,
C30H34O7,CHO,506.2305,30,34,7,0,0,0,0.23,1.13,0.00,0.00,0.00,5485592.68,4346959.535,6379644.688,9386598.184,8614279.074,3881312.069
C23H37O5N11,CHON,547.2979033,23,37,5,11,0,0,0.22,1.61,0.48,0.00,0.00,68203728.76,15411932.94,44500901.81,82631521.55,71606146.89,9461108.484
C16H21O7N3S,CHONS,399.1100233,16,21,7,3,0,1,0.44,1.31,0.19,0.00,0.00,103419.8803,43994.00381,55386.61549,369172.3876,8682.210936,30425.13334
C9H17O4N,CHON,203.1158,9,17,4,1,0,0,0.44,1.89,0.11,0.00,0.00,1023676.025,460445.4408,984762.9078,26325.82949,30158.48266,622.2383078
C17H35O4N7,CHON,401.2750433,17,35,4,7,0,0,0.24,2.06,0.41,0.00,0.00,10186518.63,13460369.77,6518482.363,4523475.806,7399686.832,8282809.17
C22H24O9,CHO,432.142,22,24,9,0,0,0,0.41,1.09,0.00,0.00,0.00,7021497.55,13755969.13,17381382.13,14428247.06,17663771.57,1199688.772
C30H48O,CHO,424.3705,30,48,1,0,0,0,0.03,1.60,0.00,0.00,0.00,581761.2572,226840.3512,310348.9218,56036.37769,21179.33082,69501.447
C16H28O8N6S,CHONS,464.1689333,16,28,8,6,0,1,0.50,1.75,0.38,0.00,0.00,3165.03983,3691.709457,4440.518459,21789.17648,22306.87601,8921.786983
C22H44O5N10S,CHONS,560.3216833,22,44,5,10,0,1,0.23,2.00,0.45,0.00,0.00,238021.4589,412861.4255,317654.2392,44603.16429,277812.8031,377953.7943
C11H21O4N3S,CHONS,291.1252733,11,21,4,3,0,1,0.36,1.91,0.27,0.00,0.00,1406673.735,496928.8868,594440.1682,1105023.914,228800.7562,1450545.531
C17H18O4,CHO,286.1205,17,18,4,0,0,0,0.24,1.06,0.00,0.00,0.00,656360.1938,627412.5385,268640.073,1997962.18,1067000.478,316468.1417
C22H18O10,CHO,442.09,22,18,10,0,0,0,0.45,0.82,0.00,0.00,0.00,8003375.615,10019970.79,9151146.55,11799375.02,9085068.055,12361945.13
C30H28O13,CHO,596.153,30,28,13,0,0,0,0.43,0.93,0.00,0.00,0.00,7440513.16,5553079.771,6331211.662,10101124.96,10142537.53,7036122.954
C25H26O6,CHO,422.1729,25,26,6,0,0,0,0.24,1.04,0.00,0.00,0.00,201296.7794,522131.7678,287513.7941,501776.7053,1040875.314,552194.4777
C11H21O4N,CHON,231.1471,11,21,4,1,0,0,0.36,1.91,0.09,0.00,0.00,373416.6193,1668436.091,972198.7558,1954973.674,2062271.757,2222822.093
C30H50O5,CHO,490.3658,30,50,5,0,0,0,0.17,1.67,0.00,0.00,0.00,225059.0745,1407474.907,3677657.865,1569924.687,1062229.584,1015493.93
C19H34O7N8,CHON,486.2550433,19,34,7,8,0,0,0.37,1.79,0.42,0.00,0.00,51573.0174,77951.22179,80818.94745,71278.81426,29149.23961,72082.1768
C30H48O9,CHO,552.3298,30,48,9,0,0,0,0.30,1.60,0.00,0.00,0.00,1015150.828,1679987.662,2313331.458,1162206.147,1537234.49,487721.1449
C25H37O5N8P,CHONP,530.2965033,25,37,5,8,1,0,0.20,1.48,0.32,0.04,8.00,606968.5477,1498155.206,1653368.109,2332941.917,3577430.306,1825587.866
C18H19O2,CHO,346.0568,18,19,2,0,0,0,0.11,1.06,0.00,0.00,0.00,159706.2703,96289.42441,79836.42446,1593.457155,3023.780568,
C18H16O11S,CHOS,440.0413,18,16,11,0,0,1,0.61,0.89,0.00,0.00,0.00,1593322.546,7298706.464,824157.9345,19908678.33,10743102.13,13250668.57
C27H44,CH,368.3443,27,44,0,0,0,0,0.00,1.63,0.00,0.00,0.00,26257.3946,15392.29711,57712.94475,95982.11658,62391.86156,5853.520882
